Species,Hum,R,MC,arm,F,T,MT,leg,logta,logtl,BI,type,weight
Cynopterus brachyotis,30.1,59.4,97.9,187.4,17.4,20.9,4.5,42.8,2.27,1.63,0.51,bat,
Cynopterus sphinx,40.1,65.2,112,217.3,20.8,26,3.8,50.6,2.34,1.70,0.62,bat,
Megaerops kusnotoi,29.3,45.8,85.1,160.2,12.6,17,,29.6,2.20,1.47,0.64,bat,
Ptenochirus jagori,51.9,82.3,145.3,279.5,26.6,33,5.4,65,2.45,1.81,0.63,bat,
Chironax melanocephalus,25.9,39,74,138.9,12.3,13,,25.3,2.14,1.40,0.66,bat,
Penthetor lucasi,36.7,56.8,100.1,193.6,20,26.7,,46.7,2.29,1.67,0.65,bat,
Thoopterus nigrescens,43.9,71.7,129.1,244.7,24.2,29,4.9,58.1,2.39,1.76,0.61,bat,
Sphaerias blanfordi,32.4,53.6,101.3,187.3,15.3,16.8,3,35.1,2.27,1.55,0.60,bat,
Alionycteris paucidentata,24.3,43.3,79.8,147.4,12.1,16.6,3.1,31.8,2.17,1.50,0.56,bat,
Otopteropus cartilagonodus,26.2,41.9,81.3,149.4,13.3,16.6,2.8,32.7,2.17,1.51,0.63,bat,
Harpyionycteris celebensis,51.6,82.7,166.3,300.6,23.2,27.6,7.7,58.5,2.48,1.77,0.62,bat,
Nyctimene albiventer,43,37.6,32.1,112.7,101.3,19.6,20.4,141.3,2.05,2.15,1.14,bat,
Nyctimene cephalotes,41.2,65.9,123,230.1,21.4,26.5,5.2,53.1,2.36,1.73,0.63,bat,
Paranyctimene raptor,34.7,50.4,86.7,171.8,16.2,18,,34.2,2.24,1.53,0.69,bat,
Eonycteris spelea,41.5,64.1,114.4,220,21.1,27.4,4.7,53.2,2.34,1.73,0.65,bat,
Megaloglossus woermanni,26,40,76.6,142.6,12.7,16.5,2.9,32.1,2.15,1.51,0.65,bat,
Macroglossus minimus,26.7,39.6,70.3,136.6,11.3,14.8,3.1,29.2,2.14,1.47,0.67,bat,
Syconycteris australis,27.1,40.6,75.5,143.2,11.5,14.4,4.7,30.6,2.16,1.49,0.67,bat,
Notopteris macdonaldi,42.4,59.9,121.7,224,27,31.7,5.1,63.8,2.35,1.80,0.71,bat,
Icaronycteris index,34.1,74.2,68.1,176.4,19.7,17.9,3.2,40.8,2.25,1.61,0.46,bat,
Archaeonycteris trigonodon,38,55,80.1,173.1,24.3,25.4,,49.7,2.24,1.70,0.69,bat,
Palaeochiropteryx tupaiodon,27.2,42.4,62.7,132.3,14.4,17.6,,32,2.12,1.51,0.64,bat,
Palaeochiropteryx spiegeli,29.9,48.7,71.6,150.2,18.6,20.9,,39.5,2.18,1.60,0.61,bat,
Hassianycteris magna,44,81.5,111.3,236.8,24.9,26.2,,51.1,2.37,1.71,0.54,bat,
Hassianycteris messelensis,38.6,67,91.4,197,23.6,21,,44.6,2.29,1.65,0.58,bat,
Rhinopoma hardwickei,33.1,58.3,68.9,160.3,23.8,29,3.7,56.5,2.20,1.75,0.57,bat,
Rhinopoma microphyllum,34.1,60.4,69.1,163.6,16.2,23.3,6.3,45.8,2.21,1.66,0.56,bat,
Rhinopoma muscatellum,24.4,48.1,51.6,124.1,17,22.2,5.3,44.5,2.09,1.65,0.51,bat,
Emballonura beccarii,22,37.7,62,121.7,15.6,14.2,2.9,32.7,2.09,1.51,0.58,bat,
Emballonura monticola,23.8,43.1,66,132.9,15,14.9,2.9,32.8,2.12,1.52,0.55,bat,
Emballonura semicaudata,25.9,44.2,72,142.1,18.3,18.2,3.1,39.6,2.15,1.60,0.59,bat,
Rhynchonycteris naso,22.4,36.7,64,123.1,14.1,13.6,3,30.7,2.09,1.49,0.61,bat,
Saccopteryx bilineata,25.9,45,76,146.9,16.9,20.9,4.9,42.7,2.17,1.63,0.58,bat,
Saccopteryx canescens,23.3,43.3,71.2,137.8,16,17.5,2.8,36.3,2.14,1.56,0.54,bat,
Balantiopteryx plicata,23.6,41.3,62,126.9,14.2,16.9,3.4,34.5,2.10,1.54,0.57,bat,
Taphozous saccolaimus,39.7,68.2,133,240.9,26.1,26.3,3.8,56.2,2.38,1.75,0.58,bat,
Taphozous longimanus,34.3,56.2,100,190.5,22.9,22.5,3.2,48.6,2.28,1.69,0.61,bat,
Taphozous melanopogon,37.9,64.5,99,201.4,24.6,22.2,5.6,52.4,2.30,1.72,0.59,bat,
Taphozous perforatus,36.9,60.1,95,192,24.2,23.7,4.9,52.8,2.28,1.72,0.61,bat,
Taphozous flaviventris,44,75,48,167,25.8,31.2,6,63,2.22,1.80,0.59,bat,
Coleura seychellensis,27.9,51.5,79.8,159.2,20,21,3,44,2.20,1.64,0.54,bat,
Diclidurus virgo,37.3,62.7,95.5,195.5,21,24.2,4,49.2,2.29,1.69,0.59,bat,
Craseonycteris thonglongyai,15.6,24.6,40.9,81.1,12.4,12,,24.4,1.91,1.39,0.63,bat,
Nycteris arge,23.2,42.6,79.3,145.1,21.4,23.9,3.7,49,2.16,1.69,0.54,bat,
Nycteris grandis,31.5,58.2,109.6,199.3,28.5,31.6,5.1,65.2,2.30,1.81,0.54,bat,
Nycteris hispida,20.2,39.5,75.6,135.3,18.7,20.5,3.2,42.4,2.13,1.63,0.51,bat,
Nycteris javanica,25.3,45.1,82.5,152.9,25.1,26.3,3.5,54.9,2.18,1.74,0.56,bat,
Nycteris macrotus,24.2,47.1,88.3,159.6,22.4,23.3,4.4,50.1,2.20,1.70,0.51,bat,
Nycteris thebaica,19.9,45.3,87.7,152.9,23.4,23.1,2.5,49,2.18,1.69,0.44,bat,
Megaderma lyra,28.9,54.5,95.5,178.9,28.2,33.5,4.8,66.5,2.25,1.82,0.53,bat,
Megaderma spasma,39.9,55.5,97.8,193.2,28.1,31.1,3.8,63,2.29,1.80,0.72,bat,
Cardioderma cor,29.9,53.5,121.8,205.2,26.2,31.2,5.4,62.8,2.31,1.80,0.56,bat,
Lavia frons,27.5,57.5,106.2,191.2,28.5,32.2,4.7,65.4,2.28,1.82,0.48,bat,
Rhinolophus affinis,28.2,46.2,75.1,149.5,19.2,21.4,2.9,43.5,2.17,1.64,0.61,bat,
Rhinolophus blasii,25.3,42,66.4,133.7,18.1,18.6,3.3,40,2.13,1.60,0.60,bat,
Rhinolophus capensis,28.1,46.5,71.4,146,17.1,18.8,2.9,38.8,2.16,1.59,0.60,bat,
Rhinolophus celebensis,22.7,40.3,58.1,121.1,15.9,16.7,3.8,36.4,2.08,1.56,0.56,bat,
Rhinolophus creaghi,27.3,47.6,74,148.9,19,22.3,4.7,46,2.17,1.66,0.57,bat,
Rhinolophus darlingii,28.2,44.2,67,139.4,16.4,17.9,4,38.3,2.14,1.58,0.64,bat,
Rhinolophus euryale,26.1,45.9,72.9,144.9,17.4,19,3.7,40.1,2.16,1.60,0.57,bat,
Rhinolophus fumigatus,30.8,49.1,78,157.9,19.1,19.9,4.5,43.5,2.20,1.64,0.63,bat,
Rhinolophus hildebranti,33.4,53.6,86,173,21.7,22.5,5.8,50,2.24,1.70,0.62,bat,
Rhinolophus hipposideros,22.5,35.5,52.1,110.1,14.2,15.9,3,33.1,2.04,1.52,0.63,bat,
Rhinolophus ferrumequinum,33.5,52.7,85.9,172.1,22,22.8,4.2,49,2.24,1.69,0.64,bat,
Rhinolophus landeri,28.1,43.6,69,140.7,16.9,18.2,4,39.1,2.15,1.59,0.64,bat,
Rhinolophus megaphyllus,28,46.2,66,140.2,18.1,18.7,4.1,40.9,2.15,1.61,0.61,bat,
Rhinolophus swinnyi,25.2,36.3,63,124.5,16.6,16.6,3.8,37,2.10,1.57,0.69,bat,
