Species,Hum,R,MC,arm,F,T,MT,leg,logta,logtl,BI,type,weight
Pipistrellus rusticus,20.6,31.3,51,102.9,11,12.2,2.6,25.8,2.01,1.41,0.66,bat,
Pipistrellus subflavus,19.6,30.6,55.8,106,12.2,13.3,3,28.5,2.03,1.45,0.64,bat,
Pipistrellus sp.,20.7,33.9,62,116.6,13,11.3,3,27.3,2.07,1.44,0.61,bat,
Nyctalus leisleri,25.3,40.4,73,138.7,15.8,15.4,2.9,34.1,2.14,1.53,0.63,bat,
Nyctalus noctula,30.4,50.2,92.3,172.9,17.8,17.2,4,39,2.24,1.59,0.61,bat,
Eptesicus bottae,30.5,45.1,79,154.6,18.7,18.6,3.4,40.7,2.19,1.61,0.68,bat,
Eptesicus serotinus,32.1,50,80.9,163,18.6,19.1,3.5,41.2,2.21,1.61,0.64,bat,
Eptesicus zuluensis,17.9,29.6,53.7,101.2,12,12,2.2,26.2,2.01,1.42,0.60,bat,
Eptesicus floweri,22.1,37,59.8,118.9,14.3,14.4,2.7,31.4,2.08,1.50,0.60,bat,
Laephotis angolensis,20.1,36.3,60.5,116.9,12.6,14.1,2.9,29.6,2.07,1.47,0.55,bat,
Histiotus macrotus,28.3,49.7,83.3,161.3,19,23.3,3.4,45.7,2.21,1.66,0.57,bat,
Mimetillus moloneyi,20.5,30,46.3,96.8,11.7,10.1,3,24.8,1.99,1.39,0.68,bat,
Vespertilio murinus,33.4,60.2,97.4,191,20.2,22.4,3.5,46.1,2.28,1.66,0.55,bat,
Philetor brachypterus,23.4,33,50.4,106.8,13.4,14,2.3,29.7,2.03,1.47,0.71,bat,
Tylonycteris pachypus,16.6,26.4,47.2,90.2,12,12.2,2.4,26.6,1.96,1.42,0.63,bat,
Hesperoptenus tickelli,35.9,54.9,103.9,194.7,22.6,20.8,2.9,46.3,2.29,1.67,0.65,bat,
Glauconycteris variegata,21.9,40.9,81.1,143.9,15.9,18.3,3.1,37.3,2.16,1.57,0.54,bat,
Chalinolobus nigrogriseus,20.2,36.3,62.5,119,13.5,16.2,3.1,32.8,2.08,1.52,0.56,bat,
Nycticeius schlieffenii,19.2,30.3,50,99.5,11,11.9,2.7,25.6,2.00,1.41,0.63,bat,
Rhogeesa tumida,16.4,31.4,55,102.8,12.3,12,2.6,26.9,2.01,1.43,0.52,bat,
Scotophilus borbonicus,29.4,46.7,80,156.1,18.2,20.2,3.6,42,2.19,1.62,0.63,bat,
Scotophilus heathi,32.3,49.7,89.2,171.2,17.7,18.9,3.2,39.8,2.23,1.60,0.65,bat,
Scotophilus kuhli,32.9,51.6,86.7,171.2,17.9,19.2,3.2,40.3,2.23,1.61,0.64,bat,
Otonycteris hemprichii,33.1,61,103.1,197.2,22,25.9,4,51.9,2.29,1.72,0.54,bat,
Lasiurus borealis,25.6,36.5,73.8,135.9,16.5,15.6,2.7,34.8,2.13,1.54,0.70,bat,
Barbastella barbastella,23.3,36.6,65.4,125.3,16.8,17,2,35.8,2.10,1.55,0.64,bat,
Plecotus auritus,22.8,36.7,60.8,120.3,15,17.6,3.2,35.8,2.08,1.55,0.62,bat,
Plecotus austriacus,23.5,38.8,67.6,129.9,15.5,15.9,1.8,33.2,2.11,1.52,0.61,bat,
Plecotus rafinesquii,24.7,42.6,70,137.3,18.2,19.8,3.2,41.2,2.14,1.61,0.58,bat,
Miniopterus australis,20.4,39.4,71.1,130.9,13.8,14.7,3.7,32.2,2.12,1.51,0.52,bat,
Miniopterus medius,25.3,43,84.5,152.8,17.9,18,3.7,39.6,2.18,1.60,0.59,bat,
Miniopterus schreibersi,28.2,44.3,82.4,154.9,18.9,17.8,2.5,39.2,2.19,1.59,0.64,bat,
Murina aenea,21.1,34.5,58.8,114.4,13.3,16.2,3.3,32.8,2.06,1.52,0.61,bat,
Murina cyclotis,23.9,36.5,65.7,126.1,16.9,19.1,3,39,2.10,1.59,0.65,bat,
Harpiocephalus harpia,29.2,45.2,81.5,155.9,17.4,19.4,4.3,41.1,2.19,1.61,0.65,bat,
Kerivoula intermedia,15.5,28.5,59,103,12.3,13.6,2.7,28.6,2.01,1.46,0.54,bat,
Kerivoula pellucida,18.4,30.4,66.1,114.9,15.3,15.8,2.8,33.9,2.06,1.53,0.61,bat,
Kerivoula picta,18.7,32,66.8,117.5,13.8,12.9,1.9,28.6,2.07,1.46,0.58,bat,
Phoniscus atrox,18.3,32.5,63.2,114,12.9,14.6,2.8,30.3,2.06,1.48,0.56,bat,
Antrozous pallidus,30.5,48.7,82.3,161.5,18.9,19.3,3.1,41.3,2.21,1.62,0.63,bat,
Nyctophilus geoffroyi,21.6,36.2,63.7,121.5,15.3,18,2.9,36.2,2.08,1.56,0.60,bat,
Nyctophilus microdon,21.3,37.6,67,125.9,14.9,15.8,2.6,33.3,2.10,1.52,0.57,bat,
Nyctophilus microtis,21.2,37.3,67.4,125.9,12.7,15.4,2.9,31,2.10,1.49,0.57,bat,
Pharotis imogene,21.9,36.7,62,120.6,16.1,16.3,3,35.4,2.08,1.55,0.60,bat,
Mystacina tuberculata,24.2,43.1,74,141.3,13.7,15.3,4,33,2.15,1.52,0.56,bat,
Tadarida aegyptiaca,31.2,51.7,91,173.9,18.5,16.1,3.4,38,2.24,1.58,0.60,bat,
Tadarida brasiliensis,21.9,38.2,68,128.1,11.9,11.5,3.1,26.5,2.11,1.42,0.57,bat,
Tadarida laticaudata,32.8,56.1,89,177.9,20.4,15.6,4.4,40.4,2.25,1.61,0.58,bat,
Tadarida condylura,28.1,45.4,95,168.5,15.3,16.9,4.1,36.3,2.23,1.56,0.62,bat,
Tadarida midas,36,59.7,114,209.7,21.5,19.1,5.5,46.1,2.32,1.66,0.60,bat,
Tadarida leonis,23.6,36.6,65,125.2,13.9,13.1,3.4,30.4,2.10,1.48,0.64,bat,
Tadarida major,20.6,38.1,72.6,131.3,12.9,12.6,3.1,28.6,2.12,1.46,0.54,bat,
Tadarida plicata,26.1,46.8,90.4,163.3,15.8,14.2,3.5,33.5,2.21,1.53,0.56,bat,
Tadarida pumila,22.1,34.3,62,118.4,11.8,12.5,3.1,27.4,2.07,1.44,0.64,bat,
Otomops martiensseni,39.1,70.9,127.5,237.5,23.2,21.9,6.1,51.2,2.38,1.71,0.55,bat,
Myopterus whitleyi,19.5,34.9,67,121.4,10.9,10.6,3,24.5,2.08,1.39,0.56,bat,
Molossops abrasus,31.3,53.3,109.9,194.5,20,15.5,4,39.5,2.29,1.60,0.59,bat,
Eumops auripendulus,24,36.4,70.6,131,13.3,13.2,3.3,29.8,2.12,1.47,0.66,bat,
Neoplatymops mattogrossensis,18.9,28.9,55.3,103.1,10.6,9.8,2.9,23.3,2.01,1.37,0.65,bat,
Molossus ater,31.3,48.2,92.4,171.9,19.3,19.2,5,43.5,2.24,1.64,0.65,bat,
Molossus bondae,26.6,39,80,145.6,14.6,14.2,3.7,32.5,2.16,1.51,0.68,bat,
Molossus molossus,24.2,35,72,131.2,14.5,12.4,3.3,30.2,2.12,1.48,0.69,bat,
Cheiromeles torquatus,50.5,74.5,179.2,304.2,29.4,29.4,3.3,62.1,2.48,1.79,0.68,bat,
Peteinosaurus zambellii       ,39,48,184.8,271.8,37,49,18.8,104.8,2.43,2.02,0.81,pterosaur,
Dimorphodon macronyx          ,79,102,400,581,76,105,32,213,2.76,2.33,0.77,pterosaur,
Preondactylus buffarinii      ,32,42,156,230,34,50,16,100,2.36,2.00,0.76,pterosaur,
Campylognathoides zitteli     ,70,82,711,863,69,90,41,200,2.94,2.30,0.85,pterosaur,
Campylognathoides liasicus    ,50,60,367,477,38,47,21.6,106.6,2.68,2.03,0.83,pterosaur,
Dorygnathus banthensis        ,56,90,332,478,45,58,23,126,2.68,2.10,0.62,pterosaur,
Rhamphorhynchus gemmingi      ,43,68,443,554,30,44,29,103,2.74,2.01,0.63,pterosaur,
Ramphorhynchus longiceps      ,52,79,429,560,36,54,26,116,2.75,2.06,0.66,pterosaur,
Ramphorhynchus intermedius    ,24,36,178,238,18,20,12,50,2.38,1.70,0.67,pterosaur,
Ramphorhynchus longicaudus    ,17,30,165,212,13,17,9.8,39.8,2.33,1.60,0.57,pterosaur,
Ramphorhynchus muensteri-male ,38,66,458,562,33,49,25,107,2.75,2.03,0.58,pterosaur,
Scaphognathus crassirostris   ,30,49,171,250,29,33,12,74,2.40,1.87,0.61,pterosaur,
Sordes pilosus                ,40,68,198,306,33,50,13,96,2.49,1.98,0.59,pterosaur,
Pterodactylus elegans         ,15,18,81.5,114.5,12,18,5.6,35.6,2.06,1.55,0.83,pterosaur,
Pterodactylus longicollum     ,78,104,542,724,99,149,30,278,2.86,2.44,0.75,pterosaur,
Pterodactylus antiquus        ,32,47,194,273,35,48,19,102,2.44,2.01,0.68,pterosaur,
Pterodactylus kochi           ,29,39,164,232,29,39,14.5,82.5,2.37,1.92,0.74,pterosaur,
Pterodactylus micronyx        ,25,31,153,209,29,41,8.7,78.7,2.32,1.90,0.81,pterosaur,
Germanodactylus rhamphastinus ,52,75,293,420,55,80,27,162,2.62,2.21,0.69,pterosaur,
Germanodactylus cristatus     ,56,75,349,480,57,88,24,169,2.68,2.23,0.75,pterosaur,
Gallodactylus suevicus        ,66,87,527,680,77,122,30,229,2.83,2.36,0.76,pterosaur,
Huanhepterus quingyangensis   ,145,234,840,1219,121,268,66,455,3.09,2.66,0.62,pterosaur,
Pterodaustro guinazui         ,80,102,461,643,60,90,50,200,2.81,2.30,0.78,pterosaur,
Pteranodon species            ,179,236,1638,2053,158,226,62,446,3.31,2.65,0.76,pterosaur,
